n_per_class,replications,max_se,max_ci95_half_width,target_ci95_half_width,stopping_reason
2,1700,0.005087756460532934,0.009972002662644551,0.01,converged
4,1000,0.005097665146195746,0.009991423686543661,0.01,converged
8,740,0.0050508762239996705,0.009899717399039354,0.01,converged
16,620,0.005100026356284059,0.009996051658316756,0.01,converged
32,440,0.005074131140367411,0.009945297035120126,0.01,converged
64,280,0.005038745368907091,0.009875940923057899,0.01,converged
128,180,0.004968820818322438,0.009738888803911978,0.01,converged
256,120,0.004820110100015365,0.009447415796030114,0.01,converged
512,100,0.003988782271765395,0.007818013252660173,0.01,converged
