n_per_class,replications,max_se,max_ci95_half_width,target_ci95_half_width,stopping_reason
2,10,0.012756413700657618,0.02500257085328893,0.05,converged
4,10,0.01356128621357312,0.026580120978603315,0.05,converged
8,10,0.015458593272851371,0.030298842814788687,0.05,converged
16,10,0.014979042277582903,0.029358922864062487,0.05,converged
32,10,0.015190631106856124,0.029773636969438,0.05,converged
