n_per_class,replications,max_se,max_ci95_half_width,target_ci95_half_width,stopping_reason
2,100,0.0040078700837913005,0.007855425364230948,0.01,converged
4,100,0.004134040668645451,0.008102719710545084,0.01,converged
8,100,0.004352636825176044,0.008531168177345045,0.01,converged
16,100,0.0047993948229787245,0.0094068138530383,0.01,converged
32,100,0.004513994353666931,0.008847428933187185,0.01,converged
64,100,0.0045508848877155355,0.00891973437992245,0.01,converged
128,100,0.004535666819633535,0.00888990696648173,0.01,converged
256,100,0.004128029115095226,0.008090937065586643,0.01,converged
512,100,0.0035688953389298936,0.006995034864302591,0.01,converged
