n_per_class,replications,max_se,max_ci95_half_width,target_ci95_half_width,stopping_reason
2,100,0.0031198044689720755,0.006114816759185268,0.01,converged
4,100,0.0031399975889646924,0.006154395274370797,0.01,converged
8,100,0.0038997237292659305,0.007643458509361224,0.01,converged
16,100,0.003109070396734906,0.006093777977600415,0.01,converged
32,100,0.002607156391875657,0.005110026528076288,0.01,converged
64,100,0.0023107771893616054,0.004529123291148746,0.01,converged
128,100,0.0021644470267977627,0.004242316172523615,0.01,converged
256,100,0.0021625051580394412,0.004238510109757305,0.01,converged
512,100,0.0022379501173640437,0.0043863822300335255,0.01,converged
