n_per_class,replications,max_se,max_ci95_half_width,target_ci95_half_width,stopping_reason
2,100,0.004002296624177197,0.007844501383387305,0.01,converged
4,100,0.004126549836644312,0.008088037679822852,0.01,converged
8,100,0.004366315548260439,0.00855797847459046,0.01,converged
16,100,0.004543433817321894,0.008905130281950911,0.01,converged
32,100,0.0047262279534653635,0.009263406788792112,0.01,converged
64,100,0.004799063579820507,0.009406164616448193,0.01,converged
128,100,0.0044019243652676735,0.00862777175592464,0.01,converged
256,100,0.004339449542006518,0.008505321102332776,0.01,converged
512,100,0.002750353716625601,0.005390693284586178,0.01,converged
