n_per_class,replications,max_se,max_ci95_half_width,target_ci95_half_width,stopping_reason
2,2000,0.005269366890433839,0.010327959105250323,0.01,max_budget
4,1520,0.005079464695072802,0.009955750802342692,0.01,converged
8,1340,0.005100931573932124,0.009997825884906962,0.01,converged
16,880,0.0050558870622819906,0.009909538642072701,0.01,converged
32,480,0.005096973992795458,0.009990069025879098,0.01,converged
64,280,0.004978827110324666,0.009758501136236344,0.01,converged
128,180,0.005053658502061576,0.00990517066404069,0.01,converged
256,140,0.004983636147544909,0.009767926849188022,0.01,converged
512,100,0.004599786304262227,0.009015581156353964,0.01,converged
