n_per_class,replications,max_se,max_ci95_half_width,target_ci95_half_width,stopping_reason
2,2000,0.005232932842153822,0.010256548370621493,0.01,max_budget
4,1320,0.0050820748758737926,0.009960866756712634,0.01,converged
8,960,0.005088195736100041,0.009972863642756081,0.01,converged
16,680,0.005101512945177504,0.009998965372547908,0.01,converged
32,500,0.005056794332658767,0.009911316892011182,0.01,converged
64,260,0.0050909198634540975,0.00997820293237003,0.01,converged
128,220,0.004896758063213965,0.00959764580389937,0.01,converged
256,120,0.004630733373436819,0.009076237411936167,0.01,converged
512,100,0.0036384870576844594,0.0071314346330615406,0.01,converged
