n_per_class,replications,max_se,max_ci95_half_width,target_ci95_half_width,stopping_reason
2,100,0.0031198044689720755,0.006114816759185268,0.01,converged
4,100,0.0031399975889646924,0.006154395274370797,0.01,converged
8,100,0.003706515522735169,0.007264770424560931,0.01,converged
16,100,0.002978594008236844,0.005838044256144214,0.01,converged
32,100,0.0024918454146474816,0.004884017012709064,0.01,converged
64,100,0.002410610890716011,0.004724797345803382,0.01,converged
128,100,0.002087417961134542,0.004091339203823702,0.01,converged
256,100,0.0017115911083076106,0.003354718572282917,0.01,converged
512,100,0.0016251724311534166,0.0031853379650606966,0.01,converged
