n_per_class,replications,max_se,max_ci95_half_width,target_ci95_half_width,stopping_reason
2,300,0.013896206516301902,0.027236564771951726,0.01,max_budget
4,300,0.011487410991374857,0.02251532554309472,0.01,max_budget
8,300,0.01072412812249987,0.021019291120099745,0.01,max_budget
16,300,0.008065425533471912,0.015808234045604948,0.01,max_budget
32,300,0.006353565183636067,0.01245298775992669,0.01,max_budget
64,280,0.004978827110324666,0.009758501136236344,0.01,converged
128,180,0.005053658502061576,0.00990517066404069,0.01,converged
