n_per_class,replications,max_se,max_ci95_half_width,target_ci95_half_width,stopping_reason
2,100,0.00404634369681353,0.007930833645754518,0.01,converged
4,100,0.004037687955131167,0.007913868392057087,0.01,converged
8,100,0.004349998174149574,0.008525996421333166,0.01,converged
16,100,0.004578931434934086,0.008974705612470808,0.01,converged
32,100,0.004778695648837676,0.009366243471721844,0.01,converged
64,100,0.004945843909998601,0.009693854063597258,0.01,converged
128,100,0.004932645721147128,0.00966798561344837,0.01,converged
256,100,0.004313395651805692,0.008454255477539157,0.01,converged
512,100,0.004277637335840319,0.008384169178247025,0.01,converged
