scenario_id,arm,n_per_class,classifier,classifier_label,subset_id,subset_size,x_label,subset_label,mean_loss,std_loss,se_loss,ci95_low,ci95_high,ci95_half_width,replications,stopping_reason
,single_gaussian_to_real,2,linear_svm,Linear SVM,0,1,{X1},{Temperature},0.2985669077971851,0.1807547587915252,0.004383946840179416,0.2899743719904334,0.30715944360393677,0.008592535806751655,1700,converged
,single_gaussian_to_real,2,logistic_regression,Logistic Regression,0,1,{X1},{Temperature},0.2673523016358029,0.16524899955569322,0.004007876939386876,0.25949686283460466,0.2752077404370012,0.007855438801198277,1700,converged
,single_gaussian_to_real,2,gaussian_nb,Gaussian Naive Bayes,0,1,{X1},{Temperature},0.32398969155190466,0.1838558650034936,0.004459159713521798,0.31524973851340193,0.3327296445904074,0.008739953038502724,1700,converged
,single_gaussian_to_real,2,linear_svm,Linear SVM,1,1,{X2},{Humidity},0.5053966336474188,0.133948563514725,0.0032487298574762776,0.49902912312676534,0.5117641441680724,0.006367510520653504,1700,converged
,single_gaussian_to_real,2,logistic_regression,Logistic Regression,1,1,{X2},{Humidity},0.5116508676435059,0.12558902039929162,0.0030459811560242965,0.5056807445776983,0.5176209907093134,0.0059701230658076206,1700,converged
,single_gaussian_to_real,2,gaussian_nb,Gaussian Naive Bayes,1,1,{X2},{Humidity},0.5131311911089635,0.14579941509311353,0.0035361552269540047,0.5062003268641337,0.5200620553537934,0.006930864244829849,1700,converged
,single_gaussian_to_real,2,linear_svm,Linear SVM,2,1,{X3},{Light},0.02536138785062225,0.008015629130777599,0.00019440756212925833,0.0249803490288489,0.025742426672395596,0.0003810388217733463,1700,converged
,single_gaussian_to_real,2,logistic_regression,Logistic Regression,2,1,{X3},{Light},0.02711912984570489,0.0075390739243025385,0.00018284940064258357,0.026760745020445426,0.027477514670964355,0.0003583848252594638,1700,converged
,single_gaussian_to_real,2,gaussian_nb,Gaussian Naive Bayes,2,1,{X3},{Light},0.08536749901700232,0.13664321333018262,0.0033140847152008826,0.07887189297520858,0.09186310505879605,0.00649560604179373,1700,converged
,single_gaussian_to_real,2,linear_svm,Linear SVM,3,1,{X4},{CO2},0.26691163442907967,0.10123954005322601,0.002455419512520004,0.26209901218454046,0.2717242566736189,0.004812622244539207,1700,converged
,single_gaussian_to_real,2,logistic_regression,Logistic Regression,3,1,{X4},{CO2},0.28292355357218996,0.1123889030741907,0.0027258312854246684,0.2775809242527576,0.2882661828916223,0.00534262931943235,1700,converged
,single_gaussian_to_real,2,gaussian_nb,Gaussian Naive Bayes,3,1,{X4},{CO2},0.3740618412138956,0.17719046344048944,0.004297499980101661,0.3656387412528963,0.38248494117489484,0.008423099960999256,1700,converged
,single_gaussian_to_real,2,linear_svm,Linear SVM,4,1,{X5},{HumidityRatio},0.4911942829801648,0.13580433348354512,0.0032937388904074215,0.4847385547549663,0.49765001120536334,0.0064557282251985456,1700,converged
,single_gaussian_to_real,2,logistic_regression,Logistic Regression,4,1,{X5},{HumidityRatio},0.5082653762157194,0.12515536392130755,0.003035463441530404,0.5023158678703198,0.5142148845611191,0.005949508345399592,1700,converged
,single_gaussian_to_real,2,gaussian_nb,Gaussian Naive Bayes,4,1,{X5},{HumidityRatio},0.5149410911984992,0.14300740337231993,0.0034684389961728603,0.5081429507660004,0.521739231630998,0.006798140432498806,1700,converged
,single_gaussian_to_real,2,linear_svm,Linear SVM,5,2,"{X1, X2}","{Temperature, Humidity}",0.3648675203350245,0.1829052408866474,0.004436103692086407,0.35617275709853513,0.3735622835715139,0.008694763236489357,1700,converged
,single_gaussian_to_real,2,logistic_regression,Logistic Regression,5,2,"{X1, X2}","{Temperature, Humidity}",0.35146416914192596,0.17590778016970743,0.004266390341221385,0.34310204407313205,0.3598262942107199,0.008362125068793913,1700,converged
,single_gaussian_to_real,2,gaussian_nb,Gaussian Naive Bayes,5,2,"{X1, X2}","{Temperature, Humidity}",0.3993398992841882,0.20107130542626794,0.00487669547384313,0.38978157615545567,0.4088982224129208,0.009558323128732534,1700,converged
,single_gaussian_to_real,2,linear_svm,Linear SVM,6,2,"{X1, X3}","{Temperature, Light}",0.045416814708487886,0.025679509480748614,0.0006228195882539803,0.044196088315510085,0.04663754110146569,0.0012207263929778014,1700,converged
,single_gaussian_to_real,2,logistic_regression,Logistic Regression,6,2,"{X1, X3}","{Temperature, Light}",0.05219755648091564,0.020154661213833122,0.0004888223354892554,0.0512394647033567,0.05315564825847458,0.0009580917775589405,1700,converged
,single_gaussian_to_real,2,gaussian_nb,Gaussian Naive Bayes,6,2,"{X1, X3}","{Temperature, Light}",0.12779439004400986,0.15826763855058432,0.003838554063889039,0.12027082407878734,0.13531795600923238,0.007523565965222517,1700,converged
,single_gaussian_to_real,2,linear_svm,Linear SVM,7,2,"{X1, X4}","{Temperature, CO2}",0.26900136909076267,0.12410359036704861,0.0030099541858925167,0.26310185888641335,0.274900879295112,0.005899510204349333,1700,converged
,single_gaussian_to_real,2,logistic_regression,Logistic Regression,7,2,"{X1, X4}","{Temperature, CO2}",0.2548818744700103,0.11137819635420365,0.0027013180468186205,0.24958729109824582,0.2601764578417748,0.005294583371764496,1700,converged
,single_gaussian_to_real,2,gaussian_nb,Gaussian Naive Bayes,7,2,"{X1, X4}","{Temperature, CO2}",0.3625057677093549,0.1893779617568277,0.004593090232279897,0.35350331085408626,0.3715082245646235,0.009002456855268598,1700,converged
,single_gaussian_to_real,2,linear_svm,Linear SVM,8,2,"{X1, X5}","{Temperature, HumidityRatio}",0.3600366196248975,0.18235256770125313,0.004422699398440365,0.3513681288039544,0.36870511044584064,0.008668490820943116,1700,converged
,single_gaussian_to_real,2,logistic_regression,Logistic Regression,8,2,"{X1, X5}","{Temperature, HumidityRatio}",0.3497887147127515,0.17382911012778643,0.004215975187435224,0.3415254033453785,0.35805202608012454,0.008263311367373039,1700,converged
,single_gaussian_to_real,2,gaussian_nb,Gaussian Naive Bayes,8,2,"{X1, X5}","{Temperature, HumidityRatio}",0.4035070989014113,0.20274341134137497,0.004917249999167874,0.39386928890304224,0.41314490889978034,0.009637809998369032,1700,converged
,single_gaussian_to_real,2,linear_svm,Linear SVM,9,2,"{X2, X3}","{Humidity, Light}",0.039136241111569055,0.0464379807192748,0.0011262864679174494,0.03692871963445085,0.04134376258868726,0.002207521477118201,1700,converged
,single_gaussian_to_real,2,logistic_regression,Logistic Regression,9,2,"{X2, X3}","{Humidity, Light}",0.04490063432959557,0.052806387700978855,0.0012807430246967832,0.042390378001189874,0.04741089065800126,0.002510256328405695,1700,converged
,single_gaussian_to_real,2,gaussian_nb,Gaussian Naive Bayes,9,2,"{X2, X3}","{Humidity, Light}",0.14090876360208252,0.17869892861227252,0.004334085634430056,0.1324139557585996,0.14940357144556543,0.008494807843482909,1700,converged
,single_gaussian_to_real,2,linear_svm,Linear SVM,10,2,"{X2, X4}","{Humidity, CO2}",0.3099897673493171,0.12998300280097008,0.00315255088284327,0.30381076761894427,0.31616876707968994,0.006178999730372809,1700,converged
,single_gaussian_to_real,2,logistic_regression,Logistic Regression,10,2,"{X2, X4}","{Humidity, CO2}",0.31557428383288566,0.13428288835585253,0.003256838425907081,0.3091908805181078,0.32195768714766354,0.006383403314777878,1700,converged
,single_gaussian_to_real,2,gaussian_nb,Gaussian Naive Bayes,10,2,"{X2, X4}","{Humidity, CO2}",0.44574198560796635,0.19228585504507684,0.004663617003900343,0.4366012962803217,0.454882674935611,0.009140689327644672,1700,converged
,single_gaussian_to_real,2,linear_svm,Linear SVM,11,2,"{X2, X5}","{Humidity, HumidityRatio}",0.4829846178626077,0.13826300379327097,0.003353370404440185,0.47641201186990495,0.4895572238553105,0.0065726059927027625,1700,converged
,single_gaussian_to_real,2,logistic_regression,Logistic Regression,11,2,"{X2, X5}","{Humidity, HumidityRatio}",0.4922632633628469,0.13276450271606047,0.003220012164887765,0.4859520395196669,0.49857448720602693,0.006311223843180019,1700,converged
,single_gaussian_to_real,2,gaussian_nb,Gaussian Naive Bayes,11,2,"{X2, X5}","{Humidity, HumidityRatio}",0.5108154854113668,0.15669509210185048,0.0038004142103048068,0.5033666735591694,0.5182642972635642,0.007448811852197421,1700,converged
,single_gaussian_to_real,2,linear_svm,Linear SVM,12,2,"{X3, X4}","{Light, CO2}",0.05882722453562242,0.03797970833007618,0.0009211432298532648,0.05702178380511002,0.06063266526613482,0.001805440730512399,1700,converged
,single_gaussian_to_real,2,logistic_regression,Logistic Regression,12,2,"{X3, X4}","{Light, CO2}",0.07058619823865762,0.03492323735572175,0.0008470129200362186,0.06892605291538663,0.07224634356192862,0.0016601453232709883,1700,converged
,single_gaussian_to_real,2,gaussian_nb,Gaussian Naive Bayes,12,2,"{X3, X4}","{Light, CO2}",0.14335578831677634,0.16871931419098712,0.004092044432301251,0.1353353812294659,0.15137619540408678,0.00802040708731045,1700,converged
,single_gaussian_to_real,2,linear_svm,Linear SVM,13,2,"{X3, X5}","{Light, HumidityRatio}",0.04337805380668818,0.05226136452776228,0.0012675242710992465,0.04089370623533366,0.045862401378042705,0.002484347571354523,1700,converged
