n_per_class,replications,max_se,max_ci95_half_width,target_ci95_half_width,stopping_reason
2,40,0.04552035850668426,0.08921990267310115,0.05,max_budget
4,40,0.03175283740418601,0.062235561312204576,0.05,max_budget
8,15,0.023307049080651118,0.04568181619807619,0.05,converged
16,40,0.02646895292548296,0.051879147733946605,0.05,max_budget
32,10,0.014936440951566732,0.029275424265070793,0.05,converged
