n_per_class,replications,max_se,max_ci95_half_width,target_ci95_half_width,stopping_reason
2,40,0.040702684087505825,0.07977726081151142,0.05,max_budget
4,40,0.025354428835912646,0.04969468051838879,0.05,converged
8,35,0.02497717062881947,0.048955254432486155,0.05,converged
16,25,0.024187296752903462,0.047407101635690785,0.05,converged
32,20,0.02424805446795919,0.04752618675720001,0.05,converged
