n_per_class,replications,max_se,max_ci95_half_width,target_ci95_half_width,stopping_reason
2,2000,0.007058189004831618,0.01383405044946997,0.01,max_budget
4,2000,0.005716389613677168,0.011204123642807248,0.01,max_budget
8,1100,0.0050660867668388615,0.009929530063004169,0.01,converged
16,260,0.004868728713169588,0.009542708277812392,0.01,converged
32,100,0.004401901588521723,0.008627727113502577,0.01,converged
64,100,0.003067044383385593,0.006011406991435762,0.01,converged
128,100,0.002166214691041501,0.004245780794441342,0.01,converged
256,100,0.001335250617147954,0.0026170912096099897,0.01,converged
512,100,0.0010322702916846535,0.0020232497717019206,0.01,converged
