n_per_class,replications,max_se,max_ci95_half_width,target_ci95_half_width,stopping_reason
2,40,0.049083627579996875,0.09620391005679388,0.05,max_budget
4,40,0.03527734796162781,0.06914360200479051,0.05,max_budget
8,25,0.022149849694425704,0.04341370540107438,0.05,converged
16,10,0.01637510977505872,0.03209521515911509,0.05,converged
32,10,0.012595777032986984,0.02468772298465449,0.05,converged
