n_per_class,replications,max_se,max_ci95_half_width,target_ci95_half_width,stopping_reason
2,2000,0.007113602935871414,0.013942661754307972,0.01,max_budget
4,2000,0.005743402456000504,0.011257068813760988,0.01,max_budget
8,1320,0.005095025472583135,0.009986249926262946,0.01,converged
16,540,0.005071385503819121,0.009939915587485477,0.01,converged
32,140,0.004903510437606128,0.00961088045770801,0.01,converged
64,100,0.0032854560108226244,0.006439493781212344,0.01,converged
128,100,0.0027194427835201475,0.005330107855699489,0.01,converged
256,100,0.001986407073095066,0.003893357863266329,0.01,converged
512,100,0.0013788501507860484,0.002702546295540655,0.01,converged
