n_per_class,replications,max_se,max_ci95_half_width,target_ci95_half_width,stopping_reason
2,100,0.0031198044689720755,0.006114816759185268,0.01,converged
4,100,0.0031399975889646924,0.006154395274370797,0.01,converged
8,100,0.0041300979029255894,0.008094991889734155,0.01,converged
16,100,0.0033597370166978573,0.0065850845527278,0.01,converged
32,100,0.003084843542340375,0.0060462933429871355,0.01,converged
64,100,0.002769983434080355,0.005429167530797496,0.01,converged
128,100,0.0021927073930346893,0.004297706490347991,0.01,converged
256,100,0.0021298953229187028,0.004174594832920657,0.01,converged
512,100,0.002189472812123741,0.004291366711762532,0.01,converged
