n_per_class,replications,max_se,max_ci95_half_width,target_ci95_half_width,stopping_reason
2,300,0.014118314939762972,0.027671897281935424,0.01,max_budget
4,300,0.010752163686112436,0.021074240824780373,0.01,max_budget
8,300,0.00948528717697778,0.018591162866876447,0.01,max_budget
16,300,0.007666387929744317,0.015026120342298862,0.01,max_budget
32,300,0.006587159420054114,0.012910832463306064,0.01,max_budget
64,260,0.0050909198634540975,0.00997820293237003,0.01,converged
128,210,0.005055404773280615,0.009908593355630005,0.01,converged
