n_per_class,replications,max_se,max_ci95_half_width,target_ci95_half_width,stopping_reason
2,300,0.01257980042931151,0.02465640884145056,0.01,max_budget
4,300,0.009656804943452814,0.018927337689167514,0.01,max_budget
8,300,0.008109641329455136,0.015894897005732066,0.01,max_budget
16,300,0.007540795915462838,0.014779959994307161,0.01,max_budget
32,300,0.00606552003795894,0.011888419274399523,0.01,max_budget
64,280,0.005038745368907091,0.009875940923057899,0.01,converged
128,170,0.005046067548569592,0.0098902923951964,0.01,converged
